Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	channel_126	channel_127N	channel_127C	channel_128N	channel_128C	channel_129N	channel_129C	channel_130N	channel_130C	channel_131N	channel_131C	channel_132N	channel_132C	channel_133N	channel_133C	channel_134N	channel_134C	channel_135N
sp|Q96F85|CNRP1_HUMAN	Q96F85	CNRP1_HUMAN	CNRIP1	164	Homo sapiens	CB1 cannabinoid receptor-interacting protein 1	1:Experimental evidence at protein level	28.66	1.0000	0.9990	4	4	4	5	5	5	2307833	2307833	2307833	11K(304.2072), 12K(304.2072), 24K(304.2072), 2K(304.2072), 8K(304.2072), N-term(304.2072)			93685.3271	252262.0273	124006.5781	28938.8623	136051.7324	6208.0665	11687.6960	6881.9777	16417.2551	28262.9238	37094.4834	133646.6357	160138.5957	56415.7131	31893.3267	33258.8774	129293.2490	123351.2734
sp|Q96FC7|PHIPL_HUMAN	Q96FC7	PHIPL_HUMAN	PHYHIPL	376	Homo sapiens	Phytanoyl-CoA hydroxylase-interacting protein-like	1:Experimental evidence at protein level	7.18	1.0000	0.9990	3	1	3	3	1	3	5385737	306999	5385737	10K(304.2072), 2C(57.0215), 6C(57.0215), N-term(304.2072)			119345.2578	346634.4805	113932.6904	36227.8435	159982.3008	9266.1022	13814.1312	7299.7521	21423.7871	42123.5964	42209.1196	220174.5332	196915.1914	49409.1748	41862.1934	28864.2915	147479.0020	112894.2520
sp|Q96FJ2|DYL2_HUMAN	Q96FJ2	DYL2_HUMAN	DYNLL2	89	Homo sapiens	Dynein light chain 2, cytoplasmic	1:Experimental evidence at protein level	57.30	1.0000	0.9990	4	2	4	4	2	4	11625679	5919905	11625679	11K(304.2072), 15C(57.0215), 22K(304.2072), 7C(57.0215), 7K(304.2072), N-term(304.2072)			96717.9375	314459.5352	116723.8896	22440.3535	39029.0435	14360.1409	10614.2804	13670.4019	9611.2661	26093.3936	22171.6199	48668.5613	49876.8755	10769.6875	15884.5349	9291.1499	47671.0234	46021.3110
sp|Q96FQ6|S10AG_HUMAN	Q96FQ6	S10AG_HUMAN	S100A16	103	Homo sapiens	Protein S100-A16	1:Experimental evidence at protein level	22.33	1.0000	0.9990	2	2	2	2	2	2	2019488	2019488	2019488	N-term(304.2072)			81605.8047	137490.1094	46153.1035	13845.3804	21931.3047	11844.9297	5061.0459	2473.6555	5406.6371	13231.8855	13582.0000	23790.0854	37937.0342	9405.0808	12649.8149	7932.2847	30110.3193	20463.2119
sp|Q96FW1|OTUB1_HUMAN	Q96FW1	OTUB1_HUMAN	OTUB1	271	Homo sapiens	Ubiquitin thioesterase OTUB1	1:Experimental evidence at protein level	9.96	1.0000	0.9990	2	2	2	2	2	2	607907	607907	607907	12K(304.2072), N-term(304.2072)			24729.1240	37813.6719	26523.2061	3513.3729	29263.9072	1595.7830	2135.6334	0.0000	4286.9111	8683.0029	7398.8274	27861.1348	25316.7598	3011.4938	5218.8417	4466.7959	32071.0566	27851.5459
sp|Q96FZ7|CHMP6_HUMAN	Q96FZ7	CHMP6_HUMAN	CHMP6	201	Homo sapiens	Charged multivesicular body protein 6	1:Experimental evidence at protein level	15.92	1.0000	0.9990	3	3	3	3	3	3	2357143	2357143	2357143	12K(304.2072), 6K(304.2072), N-term(304.2072)			177976.1094	252342.4727	97881.1699	24633.7546	48656.2051	9457.3201	3333.4958	6133.7228	10473.0122	22017.1545	17389.5547	40565.9331	81897.2607	23957.2644	22268.6509	13965.3694	49881.7080	49953.0850
sp|Q96GW7|PGCB_HUMAN	Q96GW7	PGCB_HUMAN	BCAN	911	Homo sapiens	Brevican core protein	1:Experimental evidence at protein level	18.88	1.0000	0.9990	18	17	17	19	18	18	17507873	17507873	17507873	10C(57.0215), 12C(57.0215), 14C(57.0215), 17K(304.2072), 1C(57.0215), 3C(57.0215), 5C(57.0215), 8C(57.0215), 9C(57.0215), 9K(304.2072), N-term(304.2072)			1205091.7393	3273406.2129	490069.5244	241396.9589	160909.0173	39771.9817	40907.3561	46495.9130	43194.6218	98718.0620	106739.9858	184005.1655	308577.3374	106181.6771	403679.4037	205982.1260	450850.7417	299018.3967
sp|Q96GY0|ZC21A_HUMAN	Q96GY0	ZC21A_HUMAN	ZC2HC1A	325	Homo sapiens	Zinc finger C2HC domain-containing protein 1A	1:Experimental evidence at protein level	35.69	1.0000	0.9990	14	14	14	16	16	16	7095391	7095391	7095391	10K(304.2072), 11K(304.2072), 12K(304.2072), 2C(57.0215), 3C(57.0215), 5C(57.0215), 5K(304.2072), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			1217019.2695	3279237.5391	785573.9434	238288.0957	263336.2773	63766.0754	42456.7976	49837.4122	48792.5883	141071.2162	117319.1324	280537.8459	356799.6323	107373.7815	131623.4180	79668.9293	286072.8394	229258.1431
sp|Q96HD1|CREL1_HUMAN	Q96HD1	CREL1_HUMAN	CRELD1	420	Homo sapiens	Protein disulfide isomerase CRELD1	1:Experimental evidence at protein level	11.19	1.0000	0.9990	5	5	5	5	5	5	3142905	3142905	3142905	11K(304.2072), 12C(57.0215), 13K(304.2072), 1C(57.0215), 2K(304.2072), 3C(57.0215), 8K(304.2072), 9C(57.0215), N-term(304.2072)			233011.1738	850040.0703	177633.1328	54687.5879	39479.6921	8521.4215	9942.2438	9817.0381	12877.8672	39094.8882	28863.4099	57733.1418	100730.0684	17608.8486	33455.4360	19706.4348	71702.9609	66431.2407
sp|Q96HY6|DDRGK_HUMAN	Q96HY6	DDRGK_HUMAN	DDRGK1	314	Homo sapiens	DDRGK domain-containing protein 1	1:Experimental evidence at protein level	7.32	1.0000	0.9990	2	2	2	2	2	2	2250729	2250729	2250729	N-term(304.2072)			139594.9824	244111.6211	74766.8643	18920.5349	18912.2322	9834.3342	4103.3733	4622.0802	4632.8770	14810.7693	11913.0811	25574.1260	31492.5835	10197.4121	8921.8053	7546.5236	17075.7498	16750.7561
sp|Q96ID5|IGS21_HUMAN	Q96ID5	IGS21_HUMAN	IGSF21	467	Homo sapiens	Immunoglobulin superfamily member 21	2:Experimental evidence at transcript level	7.07	1.0000	0.9990	3	3	3	3	3	3	1350412	1350412	1350412	11K(304.2072), N-term(304.2072)			65257.3672	116818.3008	41359.3691	14039.2158	17555.7563	2997.1548	1762.7007	1843.3240	3128.6108	7519.4169	10359.8870	21843.7817	29952.9668	5020.7695	8372.8381	4903.0275	38854.9805	20607.5146
sp|Q96IX5|ATPMK_HUMAN	Q96IX5	ATPMK_HUMAN	ATP5MK	58	Homo sapiens	ATP synthase membrane subunit K, mitochondrial	1:Experimental evidence at protein level	44.83	1.0000	0.9990	3	3	3	3	3	3	3207474	3207474	3207474	15K(304.2072), 16K(304.2072), N-term(304.2072)			77128.7578	169455.2812	115494.6523	30215.2637	56517.4199	13979.4910	14762.5681	11955.1327	22352.4949	19189.7393	30228.4258	52330.1533	81006.0000	37077.8789	32175.8047	39056.6357	101862.3184	84487.1543
sp|Q96JE9|MAP6_HUMAN	Q96JE9	MAP6_HUMAN	MAP6	813	Homo sapiens	Microtubule-associated protein 6	1:Experimental evidence at protein level	61.75	1.0000	0.9990	48	48	48	64	64	64	60692884	60692884	60692884	10K(304.2072), 11K(304.2072), 12K(304.2072), 13K(304.2072), 16K(304.2072), 17K(304.2072), 1K(304.2072), 20M(15.9949), 22K(304.2072), 2K(304.2072), 5K(304.2072), 5M(15.9949), 6K(304.2072), 7K(304.2072), 8C(57.0215), 8K(304.2072), 9K(304.2072), N-term(304.2072)			4439117.7471	14503148.7734	2253615.8047	1010831.6190	650381.8273	95397.2383	89316.4680	71404.2418	123236.0283	319227.3325	321936.8765	595810.4087	1011694.4674	277206.8616	375818.1904	185962.1636	816388.1738	640615.4841
sp|Q96KP4|CNDP2_HUMAN	Q96KP4	CNDP2_HUMAN	CNDP2	475	Homo sapiens	Cytosolic non-specific dipeptidase	1:Experimental evidence at protein level	14.32	1.0000	0.9990	6	6	6	6	6	6	3057313	3057313	3057313	13K(304.2072), 20K(304.2072), 7K(304.2072), 8K(304.2072), N-term(304.2072), N-term(42.0106)			319725.8125	400766.0957	118223.7124	35890.6321	212859.5732	39506.4786	18225.3293	12131.0645	23893.4678	56418.9729	50544.6047	212790.9941	200881.8604	60643.4932	49412.9148	43485.7708	161029.0127	135587.3955
sp|Q96PE5|OPALI_HUMAN	Q96PE5	OPALI_HUMAN	OPALIN	141	Homo sapiens	Opalin	2:Experimental evidence at transcript level	40.43	1.0000	0.9990	4	4	4	4	4	4	7115541	7115541	7115541	13C(57.0215), 13K(304.2072), 23K(304.2072), N-term(304.2072)			212355.1719	457405.8750	120703.1074	46647.0312	86294.9404	12985.2129	8099.3206	8009.1255	9314.0256	39214.9326	33072.6104	61072.4907	116562.6221	17672.2312	18298.2449	18269.1560	77041.4023	59670.6338
sp|Q96PV0|SYGP1_HUMAN	Q96PV0	SYGP1_HUMAN	SYNGAP1	1343	Homo sapiens	Ras/Rap GTPase-activating protein SynGAP	1:Experimental evidence at protein level	5.96	1.0000	0.9990	5	5	5	5	5	5	1641359	1641359	1641359	10K(304.2072), 13K(304.2072), 19K(304.2072), 24K(304.2072), N-term(304.2072)			50434.6533	201630.9961	54462.0596	15062.1287	32413.8091	3706.6096	5389.4398	3545.3909	6456.5814	43638.3418	37561.2021	39793.1514	149011.3398	23423.5958	23853.7283	18202.7688	74452.7485	34856.8270
sp|Q96QK1|VPS35_HUMAN	Q96QK1	VPS35_HUMAN	VPS35	796	Homo sapiens	Vacuolar protein sorting-associated protein 35	1:Experimental evidence at protein level	2.51	1.0000	0.9990	2	2	2	2	2	2	1333142	1333142	1333142	1C(57.0215), N-term(304.2072)			42809.6514	190816.6758	27255.3252	16280.9734	18592.4434	3593.5599	2818.7178	2127.0315	5061.0283	9765.7957	11906.1792	19548.9951	23717.1904	4707.9554	7316.3599	4598.5125	23444.7227	14381.2354
sp|Q96SB3|NEB2_HUMAN	Q96SB3	NEB2_HUMAN	PPP1R9B	817	Homo sapiens	Neurabin-2	1:Experimental evidence at protein level	4.90	1.0000	0.9990	3	3	3	3	3	3	1782318	1782318	1782318	10K(304.2072), 7K(304.2072), N-term(304.2072)			70473.6426	279745.7109	75374.7207	26829.2556	39934.4424	7930.4873	9463.9753	9494.3916	12588.7642	38958.9014	27298.9521	45095.8574	126046.3770	22094.1636	30956.0181	15183.9536	69690.3193	40219.5645
sp|Q96T17|MA7D2_HUMAN	Q96T17	MA7D2_HUMAN	MAP7D2	732	Homo sapiens	MAP7 domain-containing protein 2	1:Experimental evidence at protein level	13.52	1.0000	0.9990	8	8	8	9	9	9	3162252	3162252	3162252	12K(304.2072), 13K(304.2072), 14K(304.2072), 22K(304.2072), 27K(304.2072), 3K(304.2072), 7K(304.2072), 9K(304.2072), N-term(304.2072)			448367.5586	1120237.2383	261909.3438	85221.0527	76195.7021	12518.2305	13000.1208	13295.7465	17166.1940	47654.6731	42780.7688	84757.4465	135795.3774	38852.0796	40071.9698	23177.9367	93020.0200	63538.2166
sp|Q99426|TBCB_HUMAN	Q99426	TBCB_HUMAN	TBCB	244	Homo sapiens	Tubulin-folding cofactor B	1:Experimental evidence at protein level	17.62	1.0000	0.9990	5	5	5	5	5	5	3382853	3382853	3382853	4C(57.0215), 7K(304.2072), 8K(304.2072), N-term(304.2072)			215566.9492	351322.6250	125866.0850	35986.9746	159183.1758	34275.8108	16250.4089	13192.5413	19017.7340	47268.7937	50029.7021	143054.3652	153329.5107	40898.7146	39760.2002	31628.2649	116065.1875	103983.9131
sp|Q99497|PARK7_HUMAN	Q99497	PARK7_HUMAN	PARK7	189	Homo sapiens	Parkinson disease protein 7	1:Experimental evidence at protein level	60.85	1.0000	0.9990	12	12	12	17	17	17	28822874	28822874	28822874	14C(57.0215), 14K(304.2072), 14M(15.9949), 15K(304.2072), 26K(304.2072), 3K(304.2072), 4K(304.2072), 5C(57.0215), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			693873.8745	1768551.8203	978511.9785	187955.7581	506139.4585	91545.8508	42190.5999	41599.2133	79283.2312	141407.8394	178287.2881	465577.8315	653488.0625	164965.1790	107065.2930	116506.0232	523062.7249	495457.2031
sp|Q99584|S10AD_HUMAN	Q99584	S10AD_HUMAN	S100A13	98	Homo sapiens	Protein S100-A13	1:Experimental evidence at protein level	36.73	1.0000	0.9990	4	4	4	5	5	5	7524654	7524654	7524654	12K(304.2072), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			133749.8916	668193.7695	260376.0371	60319.7534	52808.8394	17410.9727	19449.9131	6624.6843	13988.6072	21675.4838	39234.6899	35077.4313	113649.9250	17329.8638	49431.4532	27433.5889	111419.5498	96664.4146
sp|Q99614|TTC1_HUMAN	Q99614	TTC1_HUMAN	TTC1	292	Homo sapiens	Tetratricopeptide repeat protein 1	1:Experimental evidence at protein level	13.70	1.0000	0.9990	4	4	4	4	4	4	2010645	2010645	2010645	11K(304.2072), 1K(304.2072), 5C(57.0215), 7C(57.0215), 8C(57.0215), 9K(304.2072), N-term(304.2072)			104763.1123	454111.2578	149536.0566	31881.8101	37722.6741	5606.9099	4959.4487	3802.8711	4032.9092	23527.6594	20077.1108	34471.3430	68366.9023	18461.2449	21103.8755	8440.3016	46076.8533	35835.1836
sp|Q99623|PHB2_HUMAN	Q99623	PHB2_HUMAN	PHB2	299	Homo sapiens	Prohibitin-2	1:Experimental evidence at protein level	50.17	1.0000	0.9990	16	16	16	16	16	16	21872774	21872774	21872774	11K(304.2072), 12K(304.2072), 14K(304.2072), 1K(304.2072), 2K(304.2072), 5K(304.2072), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072), N-term(42.0106)			550157.5801	1242793.8418	447163.5303	114059.8695	527354.6724	124286.4934	50814.3301	73655.3507	134818.1355	251650.2157	232415.8936	582669.2402	1129816.7441	314698.4803	182130.3098	225555.6045	698611.3281	519061.0020
sp|Q99719|SEPT5_HUMAN	Q99719	SEPT5_HUMAN	SEPTIN5	369	Homo sapiens	Septin-5	1:Experimental evidence at protein level	40.65	1.0000	0.9990	18	16	18	22	19	22	13263695	13263695	13263695	10K(304.2072), 11K(304.2072), 17K(304.2072), 19K(304.2072), 1K(304.2072), 20K(304.2072), 2K(304.2072), 3C(57.0215), 3K(304.2072), 4C(57.0215), 7M(15.9949), 8K(304.2072), 9K(304.2072), N-term(304.2072)			802989.9661	1859566.4463	742348.3208	230228.0527	1007306.0859	75788.7799	84363.1163	68103.5248	150303.0135	296764.9943	343970.6099	1020870.0186	1465990.0752	363579.1111	285583.6549	207002.7158	1167314.9912	788911.4951
sp|Q99747|SNAG_HUMAN	Q99747	SNAG_HUMAN	NAPG	312	Homo sapiens	Gamma-soluble NSF attachment protein	1:Experimental evidence at protein level	28.85	1.0000	0.9990	9	9	9	9	9	9	8306540	8306540	8306540	10K(304.2072), 13K(304.2072), 14K(304.2072), 2K(304.2072), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			414744.5508	1020711.9805	310996.2422	105969.3313	280206.9336	26964.5570	27535.7078	21650.6646	41511.6274	80060.3521	89013.1450	237394.2109	371019.7168	115868.5376	72442.8889	69500.9111	293017.5645	214851.7363
sp|Q99798|ACON_HUMAN	Q99798	ACON_HUMAN	ACO2	780	Homo sapiens	Aconitate hydratase, mitochondrial	1:Experimental evidence at protein level	31.41	1.0000	0.9990	22	22	22	27	27	27	53541600	53541600	53541600	10K(304.2072), 12K(304.2072), 14K(304.2072), 15M(15.9949), 1C(57.0215), 21K(304.2072), 4K(304.2072), 6K(304.2072), 7C(57.0215), 7K(304.2072), 8K(304.2072), 9C(57.0215), 9K(304.2072), N-term(304.2072)			936794.3281	2518405.9805	949565.2808	249141.2939	794320.6313	73846.2698	99967.2767	87079.8840	97453.5552	390802.1821	421827.1414	866244.8848	1280335.8594	382543.6770	272529.3877	237547.7778	1082716.0254	630115.6423
sp|Q99807|COQ7_HUMAN	Q99807	COQ7_HUMAN	COQ7	217	Homo sapiens	5-demethoxyubiquinone hydroxylase, mitochondrial	1:Experimental evidence at protein level	9.22	1.0000	0.9989	2	2	2	2	2	2	961869	961869	961869	9K(304.2072), N-term(304.2072)			98183.5117	220714.4531	51301.0332	11425.6255	19788.3359	2242.9783	4381.9636	4130.7504	8640.0171	15837.7949	10925.5015	31848.2178	35895.8086	8274.3296	9002.8418	7474.7830	22884.7305	19131.4888
sp|Q99832|TCPH_HUMAN	Q99832	TCPH_HUMAN	CCT7	543	Homo sapiens	T-complex protein 1 subunit eta	1:Experimental evidence at protein level	6.26	1.0000	0.9990	3	3	3	3	3	3	852339	852339	852339	12K(304.2072), 1C(57.0215), 9K(304.2072), N-term(304.2072)			73282.3916	122470.7148	32754.1987	11178.1140	37422.1270	11556.1440	3379.7540	1681.7072	0.0000	11738.4814	18484.7617	43435.4805	48001.4756	10293.1937	8603.8096	8337.0811	49234.1396	35701.9556
sp|Q99961|SH3G1_HUMAN	Q99961	SH3G1_HUMAN	SH3GL1	368	Homo sapiens	Endophilin-A2	1:Experimental evidence at protein level	22.83	1.0000	0.9990	10	6	6	12	7	7	13988017	4166393	13988017	10C(57.0215), 11K(304.2072), 14C(57.0215), 2K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			134853.6855	357070.3545	131583.3828	46747.2262	212007.8027	17974.2118	22865.1113	11799.8030	28382.7012	63301.0110	64484.4585	167833.7588	304393.8135	104298.8784	56630.3024	42314.0874	183588.7158	118532.4985
sp|Q99962|SH3G2_HUMAN	Q99962	SH3G2_HUMAN	SH3GL2	352	Homo sapiens	Endophilin-A1	1:Experimental evidence at protein level	51.14	1.0000	0.9990	16	12	16	20	15	20	23170342	23170342	23170342	10K(304.2072), 13K(304.2072), 14K(304.2072), 16M(15.9949), 19M(15.9949), 1K(304.2072), 24K(304.2072), 34C(57.0215), 35C(57.0215), 3K(304.2072), 3M(15.9949), 5K(304.2072), 6C(57.0215), 6K(304.2072), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			432263.5889	1455150.5195	649698.0264	195488.5991	1229104.4888	45030.5101	100980.2673	82196.8300	143093.9331	342055.1509	320216.1155	1087840.8389	1567823.2510	415241.2161	293006.1854	207852.3927	820232.6572	639566.2744
sp|Q99963|SH3G3_HUMAN	Q99963	SH3G3_HUMAN	SH3GL3	347	Homo sapiens	Endophilin-A3	1:Experimental evidence at protein level	14.41	1.0000	0.9990	5	5	5	5	5	5	2841145	2841145	2841145	12K(304.2072), 3K(304.2072), 8K(304.2072), N-term(304.2072)			172921.8652	253569.9512	99431.1650	20572.8240	183621.1377	5779.5728	11313.6431	10250.3300	24531.8738	50263.2915	45793.9917	140520.7314	218815.3457	39890.2932	34331.6759	28220.6317	116907.0557	86567.0674
sp|Q9BPU6|DPYL5_HUMAN	Q9BPU6	DPYL5_HUMAN	DPYSL5	564	Homo sapiens	Dihydropyrimidinase-related protein 5	1:Experimental evidence at protein level	14.54	1.0000	0.9990	9	8	8	9	8	8	11258351	10311430	11258351	11K(304.2072), 1C(57.0215), 9K(304.2072), N-term(304.2072)			1056667.7656	579679.4824	185105.5439	58455.1333	133310.2324	35733.9526	17006.3065	19921.4835	13456.1206	68717.5938	59773.8516	143909.8760	196169.3076	43052.5665	50864.4590	30325.2418	161091.6963	118968.7090
sp|Q9BPX5|ARP5L_HUMAN	Q9BPX5	ARP5L_HUMAN	ARPC5L	153	Homo sapiens	Actin-related protein 2/3 complex subunit 5-like protein	1:Experimental evidence at protein level	26.14	1.0000	0.9990	4	3	4	4	3	4	2959057	2959057	2959057	7K(304.2072), 8K(304.2072), N-term(304.2072)			137504.4580	342500.1992	207166.5117	32340.4480	55410.5410	5959.8407	5804.9119	4983.3804	11200.7245	15197.4092	19799.7095	43501.8831	83544.0669	20685.4224	20266.6864	19483.4414	82153.0938	78610.3457
sp|Q9BQE5|APOL2_HUMAN	Q9BQE5	APOL2_HUMAN	APOL2	337	Homo sapiens	Apolipoprotein L2	1:Experimental evidence at protein level	8.31	1.0000	0.9990	2	2	2	2	2	2	1312511	1312511	1312511	N-term(304.2072)			198781.6562	257351.1016	63077.2949	20073.3237	35356.3281	7786.7742	5115.9006	3155.2648	4631.6263	14555.9482	15821.6445	41213.5742	38233.7949	9423.3262	14711.7524	10203.6499	51405.5938	44335.8359
sp|Q9BQI5|SGIP1_HUMAN	Q9BQI5	SGIP1_HUMAN	SGIP1	828	Homo sapiens	SH3-containing GRB2-like protein 3-interacting protein 1	1:Experimental evidence at protein level	7.25	1.0000	0.9990	6	6	6	6	6	6	3712218	3712218	3712218	10K(304.2072), 13K(304.2072), 14K(304.2072), 2K(304.2072), 7K(304.2072), 9K(304.2072), N-term(304.2072)			199349.4707	943179.6016	228312.4492	61797.6255	76413.8027	13384.2493	14681.2407	11703.6774	13510.2042	55659.5684	49486.0195	85936.8643	148662.4219	25877.8274	45006.7285	27123.8660	148090.2168	82869.1299
sp|Q9BRP8|PYM1_HUMAN	Q9BRP8	PYM1_HUMAN	PYM1	204	Homo sapiens	Partner of Y14 and mago	1:Experimental evidence at protein level	30.88	1.0000	0.9990	5	5	5	5	5	5	3160344	3160344	3160344	11K(304.2072), 16K(304.2072), 4K(304.2072), 5K(304.2072), N-term(304.2072)			147984.4873	518253.9961	100394.9639	33138.2114	36047.9824	10460.9080	12867.5231	11454.8156	10934.4520	29277.9375	22603.9312	44250.8115	55527.3242	27222.2087	23222.9331	17323.8134	52598.1582	43413.8081
sp|Q9BRQ6|MIC25_HUMAN	Q9BRQ6	MIC25_HUMAN	CHCHD6	235	Homo sapiens	MICOS complex subunit MIC25	1:Experimental evidence at protein level	67.66	1.0000	0.9990	16	16	16	17	17	17	18663910	18663910	18663910	11K(304.2072), 12K(304.2072), 13K(304.2072), 16C(57.0215), 16K(304.2072), 17K(304.2072), 1C(57.0215), 1K(304.2072), 2K(304.2072), 5K(304.2072), 6C(57.0215), 6K(304.2072), 7K(304.2072), N-term(304.2072)			862830.3887	5432837.2422	1668360.7695	420033.0027	371752.1743	58588.9623	58368.8019	57371.2766	92116.4899	176811.2229	165301.1929	259018.6411	634531.5266	200857.8470	187893.9603	162669.8245	400012.6328	349168.0117
sp|Q9BRT2|UQCC2_HUMAN	Q9BRT2	UQCC2_HUMAN	UQCC2	126	Homo sapiens	Ubiquinol-cytochrome-c reductase complex assembly factor 2	1:Experimental evidence at protein level	34.92	1.0000	0.9990	5	5	5	7	7	7	4271818	4271818	4271818	11K(304.2072), 13K(304.2072), 2C(57.0215), 4K(304.2072), 7K(304.2072), N-term(304.2072)			139156.3857	878231.6875	263441.5820	65764.0459	60281.2827	18141.6511	8536.4808	13525.9836	18557.2686	38555.4164	40787.1643	148359.5964	153978.9771	50044.6005	42722.7197	32973.2020	95404.6250	68199.0674
sp|Q9BT09|CNPY3_HUMAN	Q9BT09	CNPY3_HUMAN	CNPY3	278	Homo sapiens	Protein canopy homolog 3	1:Experimental evidence at protein level	20.50	1.0000	0.9990	5	5	5	5	5	5	6472684	6472684	6472684	10K(304.2072), 19K(304.2072), 7K(304.2072), 8K(304.2072), 9C(57.0215), N-term(304.2072)			248599.6562	768042.9180	118686.0029	46858.2729	24149.5574	7360.4688	1442.1346	7071.8279	7695.9032	21514.3423	19771.1992	29453.2535	62584.7622	10155.2500	18193.2424	9668.7258	38047.8109	28448.5750
sp|Q9BUK0|CHCH7_HUMAN	Q9BUK0	CHCH7_HUMAN	CHCHD7	85	Homo sapiens	Coiled-coil-helix-coiled-coil-helix domain-containing protein 7	1:Experimental evidence at protein level	34.12	1.0000	0.9990	2	2	2	2	2	2	1419661	1419661	1419661	1C(57.0215), 9C(57.0215), N-term(304.2072)			54478.1836	162700.9297	78902.0391	16850.7173	15787.0032	2061.8362	10671.4506	1909.0081	6773.2507	11216.4675	11182.7791	18810.9229	34701.4004	9641.1365	8814.6196	7995.3911	25115.8408	16226.9204
sp|Q9BUR5|MIC26_HUMAN	Q9BUR5	MIC26_HUMAN	APOO	198	Homo sapiens	MICOS complex subunit MIC26	1:Experimental evidence at protein level	15.15	1.0000	0.9990	3	3	3	3	3	3	5114403	5114403	5114403	15K(304.2072), 19K(304.2072), 4K(304.2072), N-term(304.2072)			33039.0400	197607.2891	147576.8535	9683.6382	22943.3293	3275.3298	3807.9673	2807.3562	8993.3467	9201.8140	13467.2570	20793.3247	68954.4434	12165.8694	14773.7739	14334.1766	48042.1309	35172.8486
sp|Q9BVA1|TBB2B_HUMAN	Q9BVA1	TBB2B_HUMAN	TUBB2B	445	Homo sapiens	Tubulin beta-2B chain	1:Experimental evidence at protein level	42.92	1.0000	0.9990	22	2	8	53	2	19	144916216	744818	144916216	10M(15.9949), 11M(15.9949), 12K(304.2072), 15K(304.2072), 16K(304.2072), 2M(15.9949), 3M(15.9949), 4K(304.2072), 6M(15.9949), N-term(304.2072)			975025.1973	1569189.4004	724349.4644	208671.2289	1367008.7803	106695.5887	87295.1104	22473.2131	155426.8696	221190.0338	437253.6498	1102051.0200	1463757.0127	305347.0503	238612.0061	251757.8925	1289597.8115	1041300.8418
sp|Q9BVC6|TM109_HUMAN	Q9BVC6	TM109_HUMAN	TMEM109	243	Homo sapiens	Transmembrane protein 109	1:Experimental evidence at protein level	12.35	1.0000	0.9990	3	3	3	3	3	3	2481102	2481102	2481102	9K(304.2072), N-term(304.2072)			136890.0820	429047.2031	46129.3896	21014.2551	9656.6387	4121.6670	4158.3892	3565.3025	5457.7551	29220.0208	11479.4359	37870.2952	38837.2812	3979.2402	13853.7422	2048.7673	18751.0295	20848.8774
sp|Q9BVK6|TMED9_HUMAN	Q9BVK6	TMED9_HUMAN	TMED9	235	Homo sapiens	Transmembrane emp24 domain-containing protein 9	1:Experimental evidence at protein level	7.66	1.0000	0.9990	2	1	2	2	1	2	7374321	359882	7374321	11K(304.2072), N-term(304.2072)			386733.0195	446441.5430	151256.4873	24436.0715	53632.0286	31949.4541	4625.6846	8366.0349	12361.1025	25297.6091	20072.5505	57961.5244	100873.9053	21119.3910	21507.8770	16883.8600	66667.6621	75788.4834
